DN,distance
603,0.112750843287
604,0.105778657189
605,0.0988064710919
606,0.0918342849944
607,0.0848620988969
608,0.0778899127994
609,0.070917726702
610,0.0639455406045
611,0.056973354507
612,0.0500011684095
613,0.0430289823121
614,0.0360567962146
615,0.0290846101171
616,0.0221124240197
617,0.0151402379222
618,0.0081680518247
619,0.00119586572723
620,0.00577632037024
621,0.0127485064677
622,0.0197206925652
623,0.0266928786627
624,0.0336650647601
625,0.0406372508576
626,0.0476094369551
627,0.0545819522798
628,0.0614044144945
629,0.279726151643
630,0.27291472392
631,0.265942537823
632,0.258970351725
633,0.251998165628
634,0.24502597953
635,0.238053793433
636,0.231081607335
637,0.224109421238
638,0.217137235141
639,0.210165049043
640,0.203192862946
641,0.196220676848
642,0.189248490751
643,0.182276304653
644,0.175304118556
645,0.168331932458
646,0.161359746361
647,0.154387560263
648,0.147415374166
649,0.140443188068
650,0.133471001971
651,0.126498815873
652,0.119526629776
653,0.112554443678
654,0.105582257581
655,0.0986100714835
656,0.091637885386
657,0.0846656992885
658,0.0776935131911
659,0.0707213270936
660,0.0637491409961
661,0.0567769548986
662,0.0498047688012
663,0.0428325827037
664,0.0358603966062
665,0.0288882105087
666,0.0219160244113
667,0.0149438383138
668,0.00797165221632
669,0.000999466118843
670,0.00597271997863
671,0.0129449060761
672,0.0199170921736
673,0.026889278271
674,0.0338614643685
675,0.040833650466
676,0.0478058365635
677,0.0547780226609
678,0.0617502087584
679,0.0687218752231
680,0.0753834752051
681,0.272510894126
682,0.265746138214
683,0.258773952117
684,0.25180176602
685,0.244829579922
686,0.237857393825
687,0.230885207727
688,0.22391302163
689,0.216940835532
690,0.209968649435
691,0.202996463337
692,0.19602427724
693,0.189052091142
694,0.182079905045
695,0.175107718947
696,0.16813553285
697,0.161163346752
698,0.154191160655
699,0.147218974557
700,0.14024678846
701,0.133274602362
702,0.126302416265
703,0.119330230168
704,0.11235804407
705,0.105385857973
706,0.0984136718751
707,0.0914414857776
708,0.0844692996801
709,0.0774971135827
710,0.0705249274852
711,0.0635527413877
712,0.0565805552903
713,0.0496083691928
714,0.0426361830953
715,0.0356639969978
716,0.0286918109004
717,0.0217196248029
718,0.0147474387054
719,0.00777525260794
720,0.000803066510463
721,0.00616911958701
722,0.0131413056845
723,0.020113491782
724,0.0270856778794
725,0.0340578639769
726,0.0410300500744
727,0.0480022361719
728,0.0549744222693
729,0.0619466083668
730,0.0689187944643
731,0.0758909805617
732,0.0809840730897
733,0.265295640134
734,0.258577552509
735,0.251605366411
736,0.244633180314
737,0.237660994216
738,0.230688808119
739,0.223716622021
740,0.216744435924
741,0.209772249826
742,0.202800063729
743,0.195827877631
744,0.188855691534
745,0.181883505436
746,0.174911319339
747,0.167939133241
748,0.160966947144
749,0.153994761046
750,0.147022574949
751,0.140050388852
752,0.133078202754
753,0.126106016657
754,0.119133830559
755,0.112161644462
756,0.105189458364
757,0.0982172722667
758,0.0912450861692
759,0.0842729000718
760,0.0773007139743
761,0.0703285278768
762,0.0633563417793
763,0.0563841556819
764,0.0494119695844
765,0.0424397834869
766,0.0354675973894
767,0.028495411292
768,0.0215232251945
769,0.014551039097
770,0.00757885299956
771,0.000606666902079
772,0.00636551919539
773,0.0133377052929
774,0.0203098913903
775,0.0272820774878
776,0.0342542635853
777,0.0412264496828
778,0.0481986357802
779,0.0551708218777
780,0.0621430079752
781,0.0691151940727
782,0.0760873801701
783,0.0830595662676
784,0.0880933742391
785,0.258080389821
786,0.251408966803
787,0.244436780705
